hero,region,division,pickrate,winrate,banrate
lifeweaver,americas,platinum,11.4,48.0,0.5
lucio,americas,platinum,4.7,50.8,0.4
mauga,americas,platinum,5.3,48.5,30.7
mei,americas,platinum,9.7,49.7,5.7
mercy,americas,platinum,15.2,50.4,7.1
mizuki,americas,platinum,14.4,50.3,7.0
moira,americas,platinum,30.3,48.8,2.9
orisa,americas,platinum,10.2,44.2,8.0
pharah,americas,platinum,4.0,51.9,5.1
ramattra,americas,platinum,9.0,47.4,10.2
reaper,americas,platinum,10.4,49.6,1.8
reinhardt,americas,platinum,12.2,52.7,1.9
roadhog,americas,platinum,6.8,47.1,21.5
shion,americas,platinum,8.9,50.1,1.3
sierra,americas,platinum,11.2,48.8,20.4
sigma,americas,platinum,9.3,48.6,3.7
sojourn,americas,platinum,11.6,45.5,1.3
soldier-76,americas,platinum,19.1,49.0,0.5
sombra,americas,platinum,3.5,48.4,32.0
symmetra,americas,platinum,3.3,49.3,3.9
torbjorn,americas,platinum,5.0,51.6,0.6
tracer,americas,platinum,6.0,50.7,5.3
vendetta,americas,platinum,3.3,52.4,3.3
venture,americas,platinum,2.5,51.3,0.7
widowmaker,americas,platinum,3.9,51.8,5.5
winston,americas,platinum,5.0,48.2,3.7
wrecking-ball,americas,platinum,2.8,51.5,10.7
wuyang,americas,platinum,5.4,51.8,0.1
zarya,americas,platinum,4.6,47.9,51.3
zenyatta,americas,platinum,11.6,53.4,2.9
ana,americas,diamond,39.9,49.5,10.2
anran,americas,diamond,5.4,51.1,10.9
ashe,americas,diamond,11.1,51.5,1.5
baptiste,americas,diamond,6.9,46.6,0.1
bastion,americas,diamond,8.3,47.9,4.2
brigitte,americas,diamond,6.5,50.0,0.3
cassidy,americas,diamond,25.6,45.8,14.9
dmon,americas,diamond,15.5,54.2,15.9
domina,americas,diamond,2.4,50.1,1.2
doomfist,americas,diamond,10.0,51.2,17.1
dva,americas,diamond,5.1,44.5,8.1
echo,americas,diamond,4.4,50.9,0.4
emre,americas,diamond,6.9,48.0,0.2
freja,americas,diamond,6.2,50.5,48.7
genji,americas,diamond,16.3,51.8,3.4
hanzo,americas,diamond,6.5,50.1,1.1
hazard,americas,diamond,5.0,51.4,7.8
illari,americas,diamond,3.7,49.4,0.1
jetpack-cat,americas,diamond,9.0,55.1,48.9
junker-queen,americas,diamond,4.7,52.7,0.6
junkrat,americas,diamond,4.9,51.7,1.1
juno,americas,diamond,21.6,51.5,0.3
kiriko,americas,diamond,38.4,46.1,8.4
lifeweaver,americas,diamond,7.4,48.8,0.6
lucio,americas,diamond,5.8,50.6,0.3
mauga,americas,diamond,5.1,50.4,41.0
mei,americas,diamond,5.5,49.3,1.3
mercy,americas,diamond,13.8,50.3,9.7
mizuki,americas,diamond,11.7,49.0,15.8
moira,americas,diamond,16.2,48.1,0.9
orisa,americas,diamond,5.9,43.9,4.8
pharah,americas,diamond,4.0,52.8,2.9
ramattra,americas,diamond,5.0,45.8,4.3
reaper,americas,diamond,8.8,49.6,1.5
reinhardt,americas,diamond,8.7,50.6,1.5
roadhog,americas,diamond,6.5,47.3,27.2
